title,source,reservoir_name,country,annual_sedimentation_rate,sand_fraction
Sedimentation and its effect on storage capacity in Naghlu reservoir,E3S Web of Conferences,Naghlu Dam,Afghanistan,0.83%,
Stochastic Modelling of Reservoir Sedimentation in a Semi-Arid Watershed,WATER RESOURCES MANAGEMENT,Sidi Yacoub Reservoir,Algeria,0.64%,
Comparison of methods for estimating reservoir sedimentation,RBRH-REVISTA BRASILEIRA DE RECURSOS HIDRICOS,Pimental HPP Reservoir,Brazil,3.67%,44.00%
Loss of reservoir volume by sediment deposition and its impact on water availability in semiarid Brazil,Hydrological Sciences Journal ,Ceará,Brazil,2.00%,
Implementation of comparative detection approaches for the accurate assessment of sediment thickness and sediment volume in the Passaúna Reservoir,JOURNAL OF ENVIRONMENTAL MANAGEMENT,Passaúna,Brazil,0.15%,
"Cost-Effectiveness of Soil and Water Conservation Measures on the Catchment Sediment Budget–The Laaba Watershed Case Study, Burkina Faso",land degradation & development,Laaba reservoir,Burkina Faso,0.45%,
Examining Storage Capacity Loss and Sedimentation Rate of Large Reservoirs in the Central U.S. Great Plains,Water,,Central Europe,0.51%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Guanlu,China,8.00%,
The Application of a Multi-Beam Echo-Sounder in the Analysis of the Sedimentation Situation of a Large Reservoir after an Earthquake,Water,Zipingpu Reservoir,China,3.82%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Bianyang,China,3.75%,
Detection of Sediment Trends Using Wavelet Transforms in the Upper Indus River,Water,Warsak dam,China,3.33%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Xiangshuiba,China,2.95%,
Impact of climate change and vegetation greening on sediment transport in the Yarlung Tsangpo River,CATENA,Nuxia station Yarlung Tsangpo River,China,2.55%,
Impact of climate change and vegetation greening on sediment transport in the Yarlung Tsangpo River,CATENA,Lazi station Yarlung Tsangpo River,China,2.37%,
Assessing reservoir sedimentation in river with heavy sediment load,RIVER FLOW 2016,Dongzhuang Reservoir,China,2.33%,
3D numerical modelling of asynchronous propagation characteristics of flood and sediment peaks in three gorges reservoir,Journal of Hydrology,,China,2.30%,
Problems of reservoir sedimentation in China,Chinese Geographical Science,,China,2.30%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Lubuge,China,2.04%,
Sedimentation in the Manwan reservoir in the Upper Mekong and its downstream impacts,Quaternary International,Manwan Dam,China,2.00%,
An assessment of long-term overtopping risk and optimal termination time of dam under climate change,Journal of Environmental Management,Shihmen Reservoir,China,1.67%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Chengbihe,China,1.56%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Baidonghu,China,1.32%,
"Sedimentation and its response to management strategies of the Three Gorges Reservoir, Yangtze River, China",CATENA,Xiaolangdi,China,1.26%,
Study on Sedimentation Characteristics and Reduction Measures of Bajiazui Reservoir,IOP Conference Series: Earth and Environmental Science,Bajiazui Reservoir,China,1.25%,
Experimental study with hydraulic modeling of a reservoir desilting operation using a sediment bypass tunnel,ENVIRONMENTAL EARTH SCIENCES,,China,1.19%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,China,1.17%,
Cumulative sediment trapping by reservoirs in large river basins: A case study of the Yellow River basin,Global and Planetary Change,Yellow River basin,China,0.60%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Changhu,China,0.59%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Xijin,China,0.50%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Heshui,China,0.46%,
"Changing temporal and spatial patterns of fluvial sedimentation in Three Gorges Reservoir, Yangtze River, China",Arabian Journal of Geosciences,Three Gorges Reservoir,China,0.37%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Mashi,China,0.32%,
"Sedimentation and its response to management strategies of the Three Gorges Reservoir, Yangtze River, China",CATENA,TGR,China,0.26%,
A review of sedimentation rates in freshwater reservoirs: recent changes and causative factors,Aquatic Sciences,,China,0.21%,
"Sedimentation and its response to management strategies of the Three Gorges Reservoir, Yangtze River, China",CATENA,Powell,China,0.14%,
"Sedimentation and its response to management strategies of the Three Gorges Reservoir, Yangtze River, China",CATENA,Mead,China,0.11%,
"Sedimentation and its response to management strategies of the Three Gorges Reservoir, Yangtze River, China",CATENA,Danjiangkou,China,0.11%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Fengshuba,China,0.07%,
"Impacts of dams on the sediment flux of the Pearl River, southern China",CATENA,Xinfengjiang,China,0.04%,
