fiscal_year,n_contracts,total_qty,vw_mean_uc,vw_median_uc,vw_p25_uc,vw_p75_uc
1990,90.0,54227674.0,2.169265705551007,1.723669999569233,0.9260593298608745,3.0197232378819763
1991,90.0,48205174.0,1.8004914057565689,1.1168257655289584,0.660006766991023,1.8393848038345737
1992,90.0,34465034.0,3.7736714462547747,2.2741640008442077,1.1415494385163727,4.43121463729841
1993,194.0,190297640.0,1.7099248675916316,1.2550854992434122,0.810928773077567,2.289568903367292
1994,205.0,205169813.0,1.921353055919586,1.246854398122951,0.7680364427111689,2.053076670287956
1995,197.0,187337933.0,2.3280050444455367,1.3314178556704868,0.8985057153909095,2.4446850250831154
1996,152.0,168826004.0,1.7093789996948572,1.105482357963411,0.4285377632327805,2.154392113929942
1997,174.0,179479311.0,2.0407517654221436,1.4311380013114376,0.686252842449103,2.1869026317998546
1998,165.0,198955312.0,2.4669563384666,1.3850043079825867,0.8086051534115307,2.685082200994132
1999,154.0,206490002.0,2.5806869915183595,1.6116330288733736,1.0633903567596377,3.1306369811750963
2000,130.0,123663595.0,3.6420140863606627,1.952261590275738,1.0270914336044425,3.339406782947302
2001,159.0,183950248.0,2.5581841274277597,1.9548791123933686,0.8765004690977425,3.180724219804544
2002,146.0,173080373.0,3.819850190292807,2.241962015637663,1.3855891123359299,5.997625541277352
2003,146.0,118645008.0,3.030807937658869,1.692561002701645,1.1746917310851326,2.8286784357188104
2004,148.0,132553826.0,3.703772065243895,1.9802297214658413,1.1012095633083645,3.337280143426052
2005,114.0,106194050.0,4.280343052270819,3.0451394816505464,1.7000310275618067,5.5337709378019335
2006,125.0,98979350.0,4.2627578916208275,3.280711750335704,1.4123768951106028,4.610188418363576
2007,112.0,107982362.0,6.017053076131082,3.0980766520918985,2.2100248187842153,5.1654538301371336
2008,139.0,103344346.0,4.10052846800153,2.6248960088623288,1.808368936160404,4.855920958973419
2009,161.0,96099291.0,6.707586950147218,4.072471032094301,2.534172219563821,6.556394172097426
2010,140.0,154993298.0,4.946718539726795,3.4146893542041337,1.8616481002715666,6.463470717880909
2011,117.0,100229041.0,5.245321763679251,3.2456923051611826,2.2430028291849045,4.978752248095444
2012,125.0,298769724.0,2.360229279858357,0.034735292254916075,0.034735292254916075,3.076260166100461
2013,132.0,107232305.0,8.30757780288319,4.242022055738792,3.1696899904072446,9.115296566405405
2014,145.0,128625938.0,7.019904518869282,4.260957329703808,3.0422548211819196,6.937623377830518
2015,138.0,138653656.0,6.875466738504176,4.012347654898258,2.877638060364438,7.895180355275713
2016,104.0,130036969.0,5.693511910293756,3.781205877665466,2.64943895254761,6.182233722522421
2017,93.0,93246030.0,6.997850676645428,4.065931054934522,2.8136992603557776,9.600116847819121
2018,107.0,150245335.0,8.88136582090885,4.137613480642284,2.8827592422957533,10.607234347657938
2019,113.0,139713624.0,7.818637172635363,6.156808991978848,2.90581373502499,9.264484607762839
2020,84.0,130165271.0,7.29893047593317,4.356261974775971,3.616125423875587,9.691918558698791
2021,68.0,79408593.0,7.925509288270603,6.605210641412114,2.8167419956585005,7.689709061076093
2022,141.0,108224267.0,10.800667429791877,7.4798607511266795,5.504399713026493,11.99629570010623
2023,115.0,71650726.0,12.535783855979352,7.75379335815273,6.181105913306608,15.860206909659325
2024,93.0,43184689.0,13.936368154694824,8.356512510571635,5.609111236680769,15.848409426243894
2025,60.0,25427787.0,12.045591661987727,6.843495157399476,4.278445421869163,8.63900805824098
